date,open,high,low,close,volume,amount,outstanding_share,turnover,symbol
2015-01-05,13.9,14.18,13.74,14.02,133935608.0,3035551232.0,3999702579.0000005,0.033486391889040505,600585
2015-01-06,13.87,14.02,13.57,13.63,100587328.0,2240436736.0,3999702579.0000005,0.025148701938019775,600585
2015-01-07,13.61,13.81,13.49,13.61,60798376.0,1341807616.0,3999702579.0000005,0.01520072425365206,600585
2015-01-08,13.66,13.85,13.54,13.6,71238256.0,1578890112.0,3999702579.0000005,0.017810888333054723,600585
2015-01-09,13.56,14.27,13.5,13.64,102431184.0,2318034688.0,3999702579.0000005,0.025609700215661956,600585
2015-01-12,13.66,13.9,13.36,13.72,73916696.0,1628816256.0,3999702579.0000005,0.018480548125776028,600585
2015-01-13,13.72,13.9,13.59,13.68,44122392.0,982158208.0,3999702579.0000005,0.011031418243861375,600585
2015-01-14,13.71,13.98,13.5,13.55,46162864.0,1026678016.0,3999702579.0000005,0.011541574176633295,600585
2015-01-15,13.47,13.6,13.11,13.59,55187544.0,1194658816.0,3999702579.0000005,0.01379791194719231,600585
2015-01-16,13.63,13.64,13.42,13.48,45060496.0,986235328.0,3999702579.0000005,0.011265961683397458,600585
2015-01-19,12.91,13.11,12.13,12.21,90415984.0,1841570048.0,3999702579.0000005,0.022605676850753653,600585
2015-01-20,12.38,12.63,12.29,12.55,61814844.0,1249843584.0,3999702579.0000005,0.015454860149990165,600585
2015-01-21,12.55,12.96,12.46,12.86,57506332.0,1185167104.0,3999702579.0000005,0.01437765205391288,600585
2015-01-22,12.79,12.99,12.79,12.88,39172048.0,817415680.0,3999702579.0000005,0.009793740216002194,600585
2015-01-23,12.92,13.07,12.75,12.84,37732280.0,787050560.0,3999702579.0000005,0.009433771450434638,600585
2015-01-26,12.84,12.93,12.69,12.92,37233400.0,771678784.0,3999702579.0000005,0.009309042176158269,600585
2015-01-27,12.93,13.02,12.58,12.77,48324984.0,1001432128.0,3999702579.0000005,0.01208214437086523,600585
2015-01-28,12.67,12.72,12.51,12.59,31559410.0,644985984.0,3999702579.0000005,0.007890439195578997,600585
2015-01-29,12.37,12.47,12.22,12.36,39937932.0,798366592.0,3999702579.0000005,0.009985225453934932,600585
2015-01-30,12.41,12.48,12.21,12.22,33370160.0,665112320.0,3999702579.0000005,0.008343160357774191,600585
2015-02-02,12.08,12.22,11.99,12.01,27108680.0,529178112.0,3999702579.0000005,0.0067776739556413895,600585
2015-02-03,12.15,12.25,12.08,12.24,26139972.0,514610528.0,3999702579.0000005,0.006535478947170986,600585
