symbol,stage,count
000001,1_bearish_ma,898
000001,2_recent_exit,388
000001,3_price_above_fast_ma,133
000001,4_fast_ma_slope_up,62
000001,5_strong_rebound,27
000002,1_bearish_ma,1023
000002,2_recent_exit,488
000002,3_price_above_fast_ma,183
000002,4_fast_ma_slope_up,81
000002,5_strong_rebound,30
300750,1_bearish_ma,682
300750,2_recent_exit,317
300750,3_price_above_fast_ma,106
300750,4_fast_ma_slope_up,45
300750,5_strong_rebound,21
600036,1_bearish_ma,818
600036,2_recent_exit,431
600036,3_price_above_fast_ma,202
600036,4_fast_ma_slope_up,101
600036,5_strong_rebound,41
600519,1_bearish_ma,811
600519,2_recent_exit,370
600519,3_price_above_fast_ma,172
600519,4_fast_ma_slope_up,86
600519,5_strong_rebound,24
