ma_param,market_direction,trend_quality,volatility_state,observation_count,stock_count,date_count,strategy_mean_daily_return,benchmark_mean_daily_return,active_mean_daily_return,conditional_strategy_sharpe,conditional_benchmark_sharpe,conditional_active_information_ratio,strategy_win_rate,active_win_rate,underperformance_rate,average_position,trade_event_count,transaction_cost_sum,strategy_log_return_sum,benchmark_log_return_sum,active_log_return_sum,active_return_sum,missed_upside_sum,avoided_downside_sum,cost_drag_sum
10/40,down,choppy,high_vol,415,10,302,-0.0007903327487277745,0.0019629100372976086,-0.0027532427860253827,-1.274792958289033,1.0376227699384877,-1.544953300452223,0.02891566265060241,0.39759036144578314,0.4819277108433735,0.08674698795180723,8,0.004,-0.3488483823991372,0.6269231799193477,-0.9757715623184847,-1.1425957562005338,-4.294750853049027,3.1561550968484924,-0.004
10/40,sideways,choppy,high_vol,6869,10,2042,0.00018470803760713424,0.0004646934574823,-0.0002799854198751658,0.18397178022334276,0.3157321551651921,-0.26013495189707503,0.248507788615519,0.23773475032755859,0.25141942058523803,0.512010481875091,277,0.1385,0.3952832113259331,1.3179543084404097,-0.9226710971144765,-1.9232198491225136,-28.6977269282961,26.913007079173585,-0.1385
20/60,down,choppy,high_vol,415,10,302,-0.00017911382814254085,0.0019629100372976086,-0.0021420238654401495,-1.1221859153361082,1.0376227699384877,-1.13685081278702,0.004819277108433735,0.4433734939759036,0.5012048192771085,0.014457831325301205,1,0.0005,-0.07569773905995791,0.6269231799193477,-0.7026209189793055,-0.888939904157662,-4.5037626276696106,3.6153227235119485,-0.0005
10/40,sideways,trending,high_vol,1124,10,796,0.00011150739865661,0.0008283586952683098,-0.0007168512966116997,0.09587370399852167,0.47566284415138266,-0.552788729824757,0.23665480427046262,0.21530249110320285,0.25444839857651247,0.5249110320284698,26,0.013,-0.06444424033524798,0.5026253084334373,-0.5670695487686852,-0.8057408573915505,-5.471918931911104,4.6791780745195535,-0.013
10/40,down,trending,high_vol,244,10,184,-4.8405834516587434e-05,0.0021388704079554196,-0.002187276242472007,-1.0162612288412376,1.172784376304013,-1.199887788975862,0.0,0.4672131147540984,0.5163934426229508,0.004098360655737705,0,0.0,-0.011881327886752788,0.4203174104505966,-0.43219873833734945,-0.5336954031631698,-2.714107133650492,2.1804117304873225,0.0
20/60,down,trending,high_vol,244,10,184,0.0,0.0021388704079554196,-0.0021388704079554196,,1.172784376304013,-1.172784376304013,0.0,0.4713114754098361,0.5163934426229508,0.0,0,0.0,0.0,0.4203174104505966,-0.4203174104505966,-0.5218843795411224,-2.714107133650492,2.1922227541093697,0.0
20/60,sideways,choppy,low_vol,6615,10,2004,0.0004220168411308342,0.0005571355818148423,-0.00013511874068400812,0.5976294056532948,0.5381834952470832,-0.1784277287482758,0.23174603174603176,0.24882842025699167,0.24746787603930462,0.4826908541194255,131,0.0655,2.3777145622033826,2.7955861502110126,-0.41787158800762947,-0.8938104696247138,-19.804197545898266,18.97588707627355,-0.0655
20/60,down,trending,low_vol,667,10,493,-3.2222988624633226e-05,0.0005932766329795716,-0.0006254996216042048,-0.4101506532422362,0.4621429295206905,-0.4882500776533975,0.0014992503748125937,0.4452773613193403,0.5022488755622189,0.0029985007496251873,2,0.001,-0.022020440150500448,0.2570627545844559,-0.27908319473495624,-0.41720824761000463,-4.9014266425990165,4.485218394989011,-0.001
20/60,sideways,trending,high_vol,1124,10,796,0.0003586818057838597,0.0008283586952683098,-0.00046967688948445005,0.32481797773911053,0.47566284415138266,-0.348680059688521,0.24199288256227758,0.23309608540925267,0.2571174377224199,0.5160142348754448,53,0.026500000000000003,0.23189230526986387,0.5026253084334373,-0.2707330031635734,-0.5279168237805218,-5.691553990335889,5.190137166555367,-0.026500000000000003
10/40,sideways,choppy,low_vol,6615,10,2004,0.0004501254590083291,0.0005571355818148423,-0.00010701012280651324,0.6378964223197446,0.5381834952470832,-0.14122887518232202,0.23945578231292516,0.24459561602418745,0.24897959183673468,0.49342403628117915,244,0.122,2.563649514176417,2.7955861502110126,-0.23193663603459563,-0.7078719623650851,-19.23575584550275,18.64988388313767,-0.122
