ma_param,timing_outcome,observation_count,stock_count,strategy_return_sum,benchmark_return_sum,active_return_sum,transaction_cost_sum,strategy_mean_daily_return,benchmark_mean_daily_return,active_mean_daily_return,observation_rate
10/40,missed_upside,5172,10,-0.0785,80.37501841876757,-80.45351841876757,0.0785,-1.5177880897138437e-05,0.015540413460705253,-0.015555591341602393,0.11121145658624694
20/60,missed_upside,4974,10,-0.0535,77.57128923121512,-77.62478923121512,0.0535,-1.0755930840369924e-05,0.01559535368540714,-0.015606109616247511,0.10695394142691265
10/40,suffered_downside,5905,10,-85.21241648510518,-85.12191648510519,-0.09050000000000007,0.0905,-0.014430553172752783,-0.014415227177833225,-1.5325994919559705e-05,0.1269728637165097
10/40,captured_upside,5795,10,89.31665695535125,89.39565695535124,-0.07900000000000006,0.079,0.01541271043232981,0.015426342874089947,-1.363244176013806e-05,0.12460757751687954
20/60,captured_upside,5993,10,92.14188614290369,92.19938614290369,-0.05750000000000003,0.0575,0.015374918428650707,0.015384512955598813,-9.594526948106128e-06,0.12886509267621382
20/60,suffered_downside,6049,10,-86.89791907372815,-86.84991907372815,-0.048000000000000036,0.048,-0.01436566689927726,-0.01435773170337711,-7.93519590014879e-06,0.13006923837784373
10/40,flat_market,1147,10,-0.015,0.0,-0.015,0.015,-1.3077593722755012e-05,0.0,-1.3077593722755012e-05,0.024663484281598074
20/60,flat_market,1147,10,-0.0095,0.0,-0.0095,0.0095,-8.282476024411508e-06,0.0,-8.282476024411508e-06,0.024663484281598074
20/60,avoided_downside,5090,10,-0.052000000000000005,-73.86560928531891,73.81360928531892,0.052000000000000005,-1.0216110019646366e-05,-0.014511907521673657,0.014501691411654012,0.10944824323743173
10/40,avoided_downside,5234,10,-0.091,-75.59361187394188,75.50261187394189,0.091,-1.738632021398548e-05,-0.014442799364528445,0.014425413044314462,0.11254461789876576
