fast_window,slow_window,ma_param,stock_count,valid_sharpe_count,avg_strategy_annual_return,median_strategy_annual_return,std_strategy_annual_return,avg_excess_annual_return,median_excess_annual_return,std_excess_annual_return,worst_excess_annual_return,avg_strategy_sharpe,median_strategy_sharpe,std_strategy_sharpe,worst_strategy_sharpe,avg_sharpe_diff,avg_strategy_max_drawdown,avg_drawdown_improvement,avg_exposure,avg_trade_count,avg_transaction_cost,return_win_rate,sharpe_win_rate,drawdown_win_rate,local_parameter_count,local_mean,local_std,local_min,local_max,local_range,point_minus_local_mean,is_local_peak,robustness_metric,fast_radius,slow_radius,stability_penalty,robustness_score
5,20,5/20,5,5,-0.05089404020608079,-0.027594465683913882,0.06756276444774661,0.02717869504017114,0.032348417548915265,0.11392654136430001,-0.11465208743665012,-0.1251527119814438,-0.051526573034887085,0.36236628835049706,-0.7219343945553893,-0.025199088284831438,-0.4406185878933444,0.16274302819776484,0.43688092729188616,60.2,0.030100000000000005,0.6,0.6,1.0,4,-0.13247265381634882,0.014827799647114153,-0.15736939733829297,-0.11860718668100176,0.03876221065729121,0.0073199418349050305,False,avg_strategy_sharpe,5,10,1.0,-0.14730045346346296
5,30,5/30,5,5,-0.03789424239740413,-0.0680871646380895,0.08239311076921851,0.06182872580384728,0.03353315107713928,0.10501982795803888,-0.03223213954589421,-0.12876131926465667,-0.27863152491688553,0.3614316656593408,-0.47998222356315734,0.04457302125232405,-0.4014568228387946,0.18851929369550735,0.4225772097976571,46.4,0.0232,0.8,0.4,1.0,6,-0.14251933111887125,0.04474535000439925,-0.23304774380845625,-0.09217762763937601,0.14087011616908024,0.013758011854214575,False,avg_strategy_sharpe,5,10,1.0,-0.1872646811232705
10,20,10/20,5,5,-0.03605852896454087,-0.02824361045910051,0.09565277650663075,0.04201420628171106,-0.006388471940516505,0.11583078640574446,-0.032122960776751475,-0.11860718668100176,-0.0376100041661559,0.45161502015591387,-0.7808252662603461,-0.018653562984389437,-0.43161410458170957,0.1717475115093997,0.43645943097997897,54.4,0.027200000000000002,0.4,0.4,1.0,5,-0.15198668550550415,0.04121990593101108,-0.2300428122621255,-0.11860718668100176,0.11143562558112374,0.03337949882450239,True,avg_strategy_sharpe,5,10,1.0,-0.19320659143651522
5,60,5/60,5,5,-0.013729859137332202,-0.03165195544094035,0.14878885584881518,0.06392656643359092,0.07897738329905468,0.04293725851329815,0.0031459122993131583,-0.08667410545011225,-0.11069272839291916,0.5961127961328887,-0.9196570629174385,0.02719775306482238,-0.36392142745494177,0.21856309879055122,0.40858085808580863,29.2,0.014600000000000002,1.0,0.4,1.0,6,-0.1421182688984405,0.06073303942101933,-0.22378103758200374,-0.05100532157724265,0.1727757160047611,0.055444163448328254,False,avg_strategy_sharpe,5,10,1.0,-0.20285130831945986
5,50,5/50,5,5,-0.03113790616579255,-0.07722862489498916,0.1351591864033771,0.039020172213003,0.035877637062556755,0.06481006655811122,-0.055335322164748235,-0.1460512243844243,-0.34477338853149025,0.5311051567052876,-0.7186269644435278,-0.05603199065252958,-0.4117790989514149,0.17371607142035853,0.4026115342763874,33.2,0.0166,0.8,0.6,1.0,6,-0.15052477094653813,0.054004408619327454,-0.23304774380845625,-0.08667410545011225,0.146373638358344,0.004473546562113823,False,avg_strategy_sharpe,5,10,1.0,-0.20452917956586558
5,40,5/40,5,5,-0.020002546835714806,-0.04918118946354677,0.12361586420851882,0.05569918259313098,0.022618901648220224,0.08529123447957476,-0.02551247072149876,-0.09217762763937601,-0.17162183732579817,0.46719604218511257,-0.5237427047109722,0.01581639974526216,-0.38060475772944163,0.20669115861051743,0.4064585575888051,33.8,0.016900000000000002,0.8,0.4,1.0,6,-0.16054501995079687,0.04693045468903383,-0.23304774380845625,-0.09217762763937601,0.14087011616908024,0.06836739231142086,True,avg_strategy_sharpe,5,10,1.0,-0.2074754746398307
10,30,10/30,5,5,-0.025067692492747384,-0.08369919504058476,0.16171654962351406,0.07465527570850403,0.010867532598365814,0.1102017009211075,-0.013590911054134125,-0.15736939733829297,-0.2351386986344782,0.6050354038203674,-0.7812013260451431,0.015964943178687747,-0.40496313243360493,0.18501298410069705,0.4191693290734825,38.0,0.019,0.6,0.4,1.0,8,-0.17949706872732327,0.08071759788305224,-0.3508177508432332,-0.09217762763937601,0.2586401232038572,0.022127671389030296,False,avg_strategy_sharpe,5,10,1.0,-0.2602146666103755
10,40,10/40,5,5,-0.038142278663526395,-0.08233363376029645,0.15934927039859859,0.03755945076531939,0.005708604771840875,0.07954183023830191,-0.03520881928453656,-0.23304774380845625,-0.4985935379084254,0.6057398864571123,-0.6362908605144609,-0.1250537164238181,-0.3870226877235803,0.20027322861637886,0.4034445640473628,27.6,0.013800000000000002,0.6,0.4,1.0,9,-0.2004137349717955,0.07435150723506462,-0.3508177508432332,-0.09217762763937601,0.2586401232038572,-0.03263400883666076,False,avg_strategy_sharpe,5,10,1.0,-0.2747652422068601
5,70,5/70,5,5,-0.009128996997741012,-0.02559017994130941,0.13228940019059024,0.07176758331153302,0.11265057754531682,0.06755285534337045,-0.004378008760967611,-0.05100532157724265,-0.04791539679895838,0.521868584524458,-0.6853304411185868,0.0646386915094406,-0.3356200515680089,0.24569684472257786,0.410678531701891,26.4,0.0132,0.8,0.4,1.0,6,-0.1675067627160763,0.1086195856071315,-0.37940702363379686,-0.05100532157724265,0.3284017020565542,0.11650144113883366,True,avg_strategy_sharpe,5,10,1.0,-0.2761263483232078
10,50,10/50,5,5,-0.026628442310710022,-0.04387025059992833,0.19856772525959526,0.043529636068085534,0.023164928359826198,0.06394869238686031,-0.018086935173878493,-0.20586280726957504,-0.15422918839209915,0.8198043370667786,-1.3931259973626855,-0.11584357353768034,-0.38510746496613424,0.20038770540563924,0.40108813928182807,26.0,0.013000000000000001,0.8,0.2,1.0,9,-0.207223462048187,0.09483963972745077,-0.3514518499752012,-0.08667410545011225,0.26477774452508895,0.0013606547786119694,False,avg_strategy_sharpe,5,10,1.0,-0.3020631017756378
