date,symbol,open,high,low,close,volume,amount,turnover
2021-01-04,000002,24.05,24.05,23.3,23.52,146844133.0,4079416859.0,0.015111224913877537
2021-01-05,000002,23.52,23.65,22.95,23.63,116265838.0,3189607203.0,0.011964517695905832
2021-01-06,000002,23.54,24.34,23.48,24.34,104880129.0,2972572549.0,0.01079285352391634
2021-01-07,000002,24.56,24.98,24.04,24.38,122675574.0,3544224003.0,0.012624121592607498
2021-01-08,000002,24.54,24.94,24.39,24.84,102856329.0,3000845603.0,0.010584591223231129
2021-01-11,000002,24.98,25.7,24.78,25.22,138812124.0,4142482791.0,0.01428467847971194
2021-01-12,000002,25.22,25.23,24.87,25.15,98065437.0,2899071740.0,0.010091576997391431
2021-01-13,000002,25.32,25.59,25.06,25.32,94050423.0,2807916706.0,0.009678405709258544
2021-01-14,000002,25.34,26.07,25.23,25.39,121632323.0,3681938197.0,0.012516764218631736
2021-01-15,000002,25.41,26.02,25.3,25.36,112337238.0,3399072612.0,0.011560238975443372
2021-01-18,000002,25.57,26.47,25.26,26.47,125828168.0,3847315299.0,0.01294854420332318
2021-01-19,000002,26.41,27.39,26.01,26.49,163168839.0,5130233087.0,0.01679114428810903
2021-01-20,000002,26.31,26.42,25.7,25.83,96143454.0,2946920756.0,0.009893792334155011
2021-01-21,000002,25.66,25.99,25.42,25.49,87525261.0,2650781807.0,0.0090069237197024
2021-01-22,000002,25.36,25.36,24.56,24.78,105809055.0,3114137416.0,0.010888446105162666
2021-01-25,000002,24.78,25.06,24.18,24.86,97374972.0,2825867846.0,0.010020523617886235
2021-01-26,000002,24.78,25.53,24.68,25.15,81665458.0,2433266442.0,0.008403911537499559
2021-01-27,000002,25.14,25.36,24.87,24.89,72430275.0,2146772480.0,0.007453550603203202
2021-01-28,000002,24.6,24.61,23.89,24.07,78604139.0,2240534519.0,0.00808888172325341
2021-01-29,000002,24.17,24.26,23.34,23.53,96368543.0,2691727579.0,0.009916955469345708
